EC:2.7.1.41	GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN
EC:2.4.1.46	2.4.1.46-RXN,RXN-16027
EC:1.14.13.cr	RXN-12186
EC:6.5.1.3	RNA-LIGASE-ATP-RXN
EC:3.5.1.90	R346-RXN
EC:3.4.24.18	3.4.24.18-RXN
EC:3.5.4.25	GTP-CYCLOHYDRO-II-RXN
EC:2.5.1.17	BTUR2-RXN,COBALADENOSYLTRANS-RXN,R344-RXN
EC:3.6.3.38	3.6.3.38-RXN
EC:2.3.1.201	RXN-13589
EC:6.2.1.34	6.2.1.34-RXN
EC:2.4.1.80	CERAMIDE-GLUCOSYLTRANSFERASE-RXN,RXN-7793
EC:1.1.1.334	RXN-13587
EC:1.1.1.335	RXN-13585
EC:1.8.1.5	1.8.1.5-RXN
EC:4.2.3.108	RXN-12980
EC:4.2.3.110	RXN-12982
EC:4.2.3.112	RXN-12983
EC:2.1.1.37	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
EC:2.4.1.152	GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN,RXN-15268
EC:2.7.1.138	CERAMIDE-KINASE-RXN,RXN-7799
EC:1.13.11.65	RXN-13364,RXN-13355
EC:4.2.3.77	RXN-8939
EC:3.5.1.84	RXN-8930
EC:3.1.3.85	RXN-8852
EC:1.1.1.153	RXN-8853,SEPIAPTERIN-REDUCTASE-RXN
EC:2.3.1.101	2.3.1.101-RXN
EC:3.1.1.1	CARBOXYLESTERASE-RXN,RXN-12575,RXN-10711,3.1.1.64-RXN,RXN-10767,RXN-12252,RETINYL-PALMITATE-ESTERASE-RXN,RXNQT-4366
EC:3.1.3.37	SEDOHEPTULOSE-BISPHOSPHATASE-RXN
EC:2.7.4.6	DGDPKIN-RXN,CDPKIN-RXN,NUCLEOSIDE-DIP-KIN-RXN,UDPKIN-RXN,RXN-14228,DUDPKIN-RXN,RXN-14120,DTDPKIN-RXN,GDPKIN-RXN,DCDPKIN-RXN,DADPKIN-RXN
EC:1.1.1.357	RXN-710,3OHSTEROXRED-RXN,BAIAEUBSP-RXN
EC:1.3.1.31	2-ENOATE-REDUCTASE-RXN
EC:4.6.1.2	GUANYLCYC-RXN
EC:3.2.1.101	3.2.1.101-RXN
EC:1.14.13.93	1.14.13.93-RXN
EC:2.1.1.12	RXN-11062,METHIONINE-S-METHYLTRANSFERASE-RXN
EC:3.4.16.4	RXN-11065,3.4.16.4-RXN,RXN-16649,RXN-11351,RXN-16659,RXN-11302
EC:6.2.1.31	2-FUROATE--COA-LIGASE-RXN
EC:2.3.1.151	2.3.1.151-RXN
EC:2.1.1.121	2.1.1.121-RXN
EC:3.4.11.3	3.4.11.3-RXN
EC:1.3.1.2	RXN-11209,1.3.1.2-RXN
EC:1.2.1.7	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN,3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN,BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN
EC:3.4.21.42	RXN-7940,3.4.21.42-RXN
EC:2.4.2.31	2.4.2.31-RXN
EC:3.1.4.3	PHOSPHOLIPASE-C-RXN,RXN-16261
EC:3.4.11.4	3.4.11.4-RXN
EC:3.1.3.67	3.1.3.67-RXN,RXN-10947
EC:1.14.13.92	1.14.13.92-RXN
EC:2.5.1.66	2.5.1.66-RXN
EC:2.4.1.225	2.4.1.225-RXN
EC:3.1.3.18	GPH-RXN
EC:1.14.16.2	TYROSINE-3-MONOOXYGENASE-RXN
EC:2.5.1.105	RXN-10009,RXN-15734
EC:2.7.7.81	RXN-10003
EC:2.5.1.97	RXN-10002
EC:3.6.1.57	RXN-10001
EC:2.3.1.202	RXN-10000
EC:4.2.3.40	RXN-10005
EC:4.2.3.39	RXN-10004
EC:1.4.1.8	VALINE-DEHYDROGENASE-NADP+-RXN
EC:1.13.12.4	LACTATE-2-MONOOXYGENASE-RXN
EC:3.2.1.61	3.2.1.61-RXN
EC:1.12.1.3	1.12.1.3-RXN
EC:1.6.1.1	PYRNUTRANSHYDROGEN-RXN
EC:1.6.1.2	PYRNUTRANSHYDROGEN-RXN,TRANS-RXN0-277
EC:1.6.1.3	PYRNUTRANSHYDROGEN-RXN
EC:2.3.1.190	RXN-9718
EC:2.3.1.196	RXN-6724
EC:4.2.1.134	RXN-16096,RXN-16130,RXN-12969,RXN-13305,RXN-13304,RXN-13303,RXN-13302,RXN-16113,RXN-14494,RXN-16155,RXN-16021,RXN-13001,RXN-14485,RXN-11750,RXN-13444
EC:2.1.1.274	RXN-6723
EC:1.14.19.4	RXN-16099,RXN-16101
EC:1.1.1.329	RXN-13118
EC:2.6.1.101	RXN-13119
EC:1.14.13.179	RXN-13110,RXN-11516,RXN-13106,RXN-13109
EC:1.14.13.178	RXN-13111,RXN-11517,RXN-11513,RXN-13108
EC:2.3.1.198	RXN-13112,RXN-13734,RXN-13735,RXN-13736,RXN-13803
EC:4.2.3.124	RXN-13116
EC:2.6.1.100	RXN-13117
EC:2.7.1.81	HYDROXYLYSINE-KINASE-RXN
EC:2.4.1.35	PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN
EC:3.1.3.39	STREPTOMYCIN-6-PHOSPHATASE-RXN
EC:4.1.2.14	KDPGALDOL-RXN
EC:4.1.2.55	KDPGALDOL-RXN,DEHYDDEOXPHOSGALACT-ALDOL-RXN
EC:5.4.99.28	RXN-11842
EC:5.4.99.29	RXN-11843
EC:2.1.1.166	RXN-11845
EC:1.14.13.89	RXN-11846,RXN-7141,RXN-11641,RXN-4501
EC:1.14.99.29	DEOXYHYPUSINE-MONOOXYGENASE-RXN
EC:2.3.1.230	RXN-11848,RXN-11850
EC:1.14.13.182	RXN-11849
EC:2.1.1.88	2.1.1.88-RXN,RXN-15525
EC:2.4.1.219	2.4.1.219-RXN
EC:4.99.1.4	SIROHEME-FERROCHELAT-RXN
EC:2.5.1.6	S-ADENMETSYN-RXN
EC:6.3.4.15	BIOTINLIG-RXN
EC:4.4.1.17	HOLOCYTOCHROME-C-SYNTHASE-RXN
EC:3.1.1.3	RXN-12579,TRIACYLGLYCEROL-LIPASE-RXN,RXN-12086
EC:3.1.1.90	RXN-12576
EC:6.2.1.44	RXN-12571
EC:4.2.1.155	RXN-12573
EC:2.7.1.2	GLUCOKIN-RXN,RXN66-521,RXN-1685
EC:4.3.1.17	4.3.1.17-RXN
EC:4.2.1.39	GLUCONATE-DEHYDRATASE-RXN
EC:3.4.17.1	CARBOXYPEPTIDASE-A-RXN
EC:2.1.1.15	FATTY-ACID-O-METHYLTRANSFERASE-RXN
EC:1.2.1.39	PHENDEHYD-RXN
EC:1.14.99.46	RXN0-6444,RXN-12886
EC:2.8.3.22	RXN-14933,RXN-8987,RXN-8964,2.8.3.7-RXN
EC:1.1.99.39	RXN-14932
EC:2.6.1.105	RXN-14930
EC:3.1.2.30	RXN-14937
EC:2.8.3.21	RXN-14936,RXN0-3601
EC:2.8.3.20	RXN-14935,RXN-8987,RXN-8966
EC:5.3.3.1	RXN-12790,RXN-12694,STEROID-DELTA-ISOMERASE-RXN,RXN66-362,RXN-709,RXN66-351,RXN66-354
EC:4.2.1.99	4.2.1.99-RXN
EC:1.3.1.12	PREPHENATEDEHYDROG-RXN
EC:1.14.19.y	RXN-12797,RXN-16111
EC:4.1.1.46	O-PYROCATECHUATE-DECARBOXYLASE-RXN
EC:1.14.13.109	RXN-12799
EC:2.7.7.37	2.7.7.37-RXN,RXN-7381,RXN-7401
EC:2.6.1.17	SUCCINYLDIAMINOPIMTRANS-RXN
EC:2.4.1.153	RXN-16569
EC:2.4.1.15	TREHALOSE6PSYN-RXN
EC:2.4.1.32	2.4.1.32-RXN
EC:1.2.1.44	CINNAMOYL-COA-REDUCTASE-RXN,RXN-1106,RXN-1101
EC:2.6.1.58	RXN3O-4157,2.6.1.58-RXN
EC:4.1.3.22	CITRAMALATE-LYASE-RXN
EC:2.1.1.140	2.1.1.140-RXN
EC:4.1.2.8	RXN0-2381
EC:1.7.1.6	AZOBENZENE-REDUCTASE-RXN
EC:4.2.3.58	RXN-8540
EC:4.2.3.56	RXN-8541
EC:4.2.3.114	RXN-8547
EC:4.2.3.59	RXN-8549
EC:4.2.1.120	RXN-8890
EC:1.11.1.7	RXN-14240,RXN-15288,PEROXID-RXN,RXN-8635
EC:3.1.7.10	RXN-14243,RXN-12892
EC:1.5.1.34	RXN-14245,RXN-13909,1.5.1.34-RXN
EC:3.1.1.83	RXN-14247,RXN-9984,RXN-9436,RXN-9432,RXN-9394,RXN-9393,RXN-9443,RXN-9421
EC:1.1.1.103	RXN-14249,THREODEHYD-RXN
EC:2.3.1.al	RXN-14355
EC:3.1.6.8	CEREBROSIDE-SULFATASE-RXN
EC:4.2.3.5	CHORISMATE-SYNTHASE-RXN
EC:2.4.1.25	RXN-14354,RXN-14261,RXN-14260,AMYLOMALT-RXN,RXN-9023,RXN-12193,RXN-1828,RXN-12391
EC:1.14.13.104	1.14.13.104-RXN
EC:4.2.3.85	RXN-10635
EC:4.2.3.68	RXN-10636
EC:4.2.3.84	RXN-10637
EC:4.2.3.42	RXN-10631
EC:4.2.3.43	RXN-10632
EC:1.11.1.16	RXN0-267,RXN-8666,RXN-8667
EC:2.7.1.12	GLUCONOKIN-RXN
EC:2.7.7.77	RXN0-262,RXN-16427,RXN-16456
EC:2.1.1.246	RXN-8096
EC:1.3.1.106	RXN-8765
EC:1.2.3.1	RXN-8094,RXN-8092,RXN-8093,RXN-13681,ALDEHYDE-OXIDASE-RXN
EC:2.1.1.90	RXN-8095,2.1.1.90-RXN
EC:1.2.3.9	RXN-8090,RXN-8091,ARYL-ALDEHYDE-OXIDASE-RXN,RXN-8089,RXN-8088
EC:1.2.1.5	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN,RXN-6002,RXN-5581
EC:5.4.99.60	RXN-8768
EC:6.3.5.11	RXN-8769
EC:2.1.1.248	RXN-8098
EC:2.1.1.247	RXN-8099,RXN-8101,RXN-8103
EC:3.2.2.10	RXN-14065
EC:3.1.4.16	RXN-14064,CYCPHOSDIESTER-RXN,RXN-14091,RXN-14113,RXN-14112
EC:2.4.1.253	RXN-14060,RXN-14058,RXN-11755
EC:2.7.1.156	RXN-14063,COBINAMIDEKIN-RXN,2.7.1.156-RXN
EC:3.2.1.167	RXN-14062,RXN-11760,RXN-14111
EC:1.13.12.2	LYSINE-2-MONOOXYGENASE-RXN
EC:3.4.22.67	3.4.22.67-RXN
EC:2.7.7.56	TRNA-NUCLEOTIDYLTRANSFERASE-RXN,RXN0-6482,RXN0-6481
EC:3.4.24.11	3.4.24.11-RXN
EC:4.1.1.28	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN,RXN3DJ-170,RXN66-221
EC:3.2.1.49	3.2.1.49-RXN
EC:1.8.99.b	SULFITE-REDUCTASE-RXN
EC:3.5.1.12	BIOTINIDASE-RXN,RXN-16474
EC:2.7.7.58	DHBAMPLIG-RXN,RXN-14814
EC:1.4.3.2	L-AMINO-ACID-OXIDASE-RXN,ARG-OXIDATION-RXN
EC:3.4.21.113	3.4.21.113-RXN
EC:4.1.1.96	RXN-9380
EC:2.3.1.183	RXN-9382
EC:1.17.7.1	RXN0-882
EC:1.17.1.2	RXN0-884,ISPH2-RXN
EC:1.5.3.16	RXN-10464,POLYAMINE-OXIDASE-RXN,RXN-9015
EC:1.14.15.4	STEROID-11-BETA-MONOOXYGENASE-RXN,RXN66-359,RXN66-357
EC:1.1.1.21	ALDEHYDE-REDUCTASE-RXN,RXN-12078,RXN-14102,RXN-8772
EC:6.2.1.7	6.2.1.29-RXN,CHOLATE--COA-LIGASE-RXN
EC:1.1.1.154	R165-RXN
EC:1.14.11.43	RXN-14820,RXN-14821
EC:3.4.11.24	3.4.11.24-RXN
EC:3.4.21.72	3.4.21.72-RXN
EC:2.7.4.12	DTMPKI-RXN,GMKALT-RXN
EC:2.7.4.9	DTMPKI-RXN
EC:1.2.1.81	RXN-11674
EC:2.5.1.15	H2PTEROATESYNTH-RXN
EC:3.6.3.7	3.6.3.7-RXN
EC:2.7.4.23	RXN0-1401
EC:4.2.3.67	RXN-9962,RXN-9963
EC:2.5.1.87	RXN-9969,RXN-11963
EC:2.7.8.19	2.7.8.19-RXN
EC:3.6.3.42	3.6.3.42-RXN
EC:3.2.1.125	RAUCAFFRICINE-BETA-GLUCOSIDASE-RXN
EC:2.8.3.11	CITRAMALATE-COA-TRANSFERASE-RXN
EC:4.2.2.8	4.2.2.8-RXN
EC:4.2.2.19	4.2.2.19-RXN
EC:4.2.2.20	4.2.2.19-RXN,4.2.2.5-RXN,RXN-11572
EC:4.1.1.11	ASPDECARBOX-RXN
EC:3.1.1.4	RXN-16138,RXN-15068,RXN-15067,RXN-1501,RXN0-6725,RXN-15065,PHOSPHOLIPASE-A2-RXN,RXN-16139
EC:2.8.2.11	GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN
EC:1.3.1.93	RXN-16131,RXN-13307,RXN-13306,RXN-13309,RXN-13308,RXN-16114,RXN-7711,RXN-14495,RXN-16022,RXN-16156,RXN-12997,RXN-12971,RXN-16097,RXN-14486,RXN-13445
EC:1.14.19.3	RXN-16132,RXN-16065,1.14.19.3-RXN,RXN-13426
EC:4.2.1.17	RXN-16135,RXN-14266,TIGLYLCOA-HYDROXY-RXN,RXN-11244,RXN0-6513,ENOYL-COA-HYDRAT-RXN,RXN-13616,METHYLACYLYLCOA-HYDROXY-RXN,RXN-14276,RXN-10704,RXN-10705,RXN-7838,RXN-10697
EC:3.5.2.12	3.5.2.12-RXN
EC:2.1.1.160	RXN-7601,RXN-7599
EC:5.4.3.9	RXN-13569
EC:1.14.13.165	RXN-13568
EC:6.3.5.3	FGAMSYN-RXN
EC:2.7.1.175	RXN-12960
EC:1.1.1.324	RXN-12961
EC:1.14.13.151	RXN-12967
EC:4.2.1.82	XYLONATE-DEHYDRATASE-RXN
EC:4.4.1.33	RXN-15990
EC:2.1.1.257	RXN-13326
EC:5.3.1.24	PRAISOM-RXN
EC:2.5.1.30	TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN
EC:4.4.1.29	RXN-15997,RXN-15995,RXN-15991,RXN-15998,RXN-15993,RXN-15996
EC:3.4.11.14	3.4.11.14-RXN
EC:2.4.1.65	2.4.1.65-RXN
EC:1.13.11.6	1.13.11.6-RXN
EC:1.20.4.2	1.20.4.2-RXN
EC:2.3.1.121	2.3.1.121-RXN
EC:1.14.11.32	RXN-8149,RXN-8152
EC:4.1.2.9	PHOSPHOKETOLASE-RXN
EC:2.6.1.84	RXN-8956
EC:2.6.1.102	RXN-8953
EC:5.3.3.6	METHYLITACONATE-DELTA-ISOMERASE-RXN
EC:2.5.1.72	QUINOLINATE-SYNTHA-RXN
EC:1.2.1.50	LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN,RXN-1021
EC:2.1.1.79	RXN1G-3641,2.1.1.79-RXN,RXN1G-2544,RXN-7421
EC:3.4.23.40	3.4.23.40-RXN
EC:3.4.23.42	3.4.23.42-RXN
EC:1.97.1.1	1.97.1.1-RXN
EC:2.3.1.158	2.3.1.158-RXN,RXN-1641
EC:3.4.23.44	3.4.23.44-RXN
EC:4.2.1.51	PREPHENATEDEHYDRAT-RXN
EC:3.2.2.28	RXN-11048,RXN0-1922
EC:3.2.2.29	RXN-11049
EC:1.7.3.1	RXN-11045,NITROETHANE-OXIDASE-RXN
EC:2.1.1.163	RXN-11046,RXN-9205,RXN-14177,RXN-9220,RXN-9191,RXN-9363,RXN-9362,RXN-9361,RXN-9366,ADOMET-DMK-METHYLTRANSFER-RXN
EC:2.5.1.74	RXN-11047,RXN-9217,DMK-RXN,RXN-9358,RXN-9359,RXN-9204,RXN-9190,RXN-9360,RXN-9365
EC:1.1.1.188	1.1.1.188-RXN
EC:1.1.1.65	PYRIDOXINE-4-DEHYDROGENASE-RXN
EC:3.5.1.47	N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN
EC:3.1.3.60	PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN
EC:1.14.19.10	RXN-8372
EC:2.3.2.10	2.3.2.10-RXN
EC:1.14.99.14	PROGESTERONE-11-ALPHA-MONOOXYGENASE-RXN
EC:2.3.1.219	RXN-11225,RXN-11223
EC:2.3.1.217	RXN-11226
EC:2.3.1.218	RXN-11221,RXN-11220
EC:6.3.2.11	RXN-11222,CARNOSINE-SYNTHASE-RXN
EC:5.5.1.18	RXN1F-147,RXN-8028,RXN-12495
EC:2.5.1.99	RXN1F-144
EC:2.7.1.68	2.7.1.68-RXN
EC:2.7.2.1	ACETATEKIN-RXN
EC:5.5.1.19	RXN1F-148,RXN1F-151,RXN1F-150,RXN-12496
EC:1.13.11.12	LIPOXYGENASE-RXN,RXN-1321
EC:3.1.1.5	LYSOPHOSPHOLIPASE-RXN,RXN-15035
EC:3.8.1.3	DHLBXANAU-RXN,HALOACETATE-DEHALOGENASE-RXN,RXN-11761
EC:3.4.24.58	RXN-10792,RXN-10791,3.4.24.58-RXN
EC:3.4.21.69	RXN-10790,3.4.21.69-RXN
EC:3.1.27.6	3.1.27.6-RXN,RXN0-6527,RXN0-6526
EC:1.1.1.79	GLYOXYLATE-REDUCTASE-NADP+-RXN
EC:1.8.1.13	1.6.4.9-RXN
EC:3.1.3.90	RXN-14475
EC:3.1.1.61	MCPMETEST-RXN
EC:6.3.4.18	RXN0-742
EC:5.4.99.18	RXN0-743
EC:1.2.1.25	1.2.1.25-RXN
EC:1.17.4.2	RXN0-745,RXN0-723,RXN0-724,1.17.4.2-RXN,RXN0-746
EC:3.6.3.30	3.6.3.30-RXN
EC:5.3.3.e	RXN-16300,RXN-16264
EC:3.4.24.74	3.4.24.74-RXN
EC:3.2.1.62	GLYCOSYLCERAMIDASE-RXN
EC:1.6.5.5	QOR-RXN
EC:2.1.3.11	RXN-9778
EC:3.1.3.78	RXN-9779
EC:3.2.1.1	ALPHA-AMYL-RXN,RXN0-5181,3.2.1.1-RXN,RXN-1823
EC:6.2.1.35	RXN-9776
EC:4.3.99.2	RXN-9777
EC:1.14.13.111	RXN-9770
EC:6.3.2.17	RXN0-2921,FOLYLPOLYGLUTAMATESYNTH-RXN,FORMYLTHFGLUSYNTH-RXN
EC:2.7.7.13	2.7.7.13-RXN
EC:3.2.1.179	RXN-14021,RXN-16485,RXN-12178,RXN-12270
EC:3.4.23.3	3.4.23.3-RXN
EC:1.1.3.17	RXN-13178
EC:1.1.1.262	RXN-13179
EC:2.4.1.285	RXN-13176
EC:3.5.1.113	RXN-13177
EC:1.1.3.44	RXN-13174
EC:2.6.1.95	RXN-13175
EC:3.7.1.8	RXN-13171,R608-RXN,3.7.1.8-RXN
EC:3.4.22.29	3.4.22.29-RXN
EC:1.2.1.73	RXN-9592
EC:5.4.3.5	ORNMUTST-RXN
EC:1.4.3.22	RXN-9599,RXN-8244,RXN-9600,RXN-6381
EC:5.1.3.13	DTDPDEHYDRHAMEPIM-RXN
EC:3.4.22.1	3.4.22.1-RXN
EC:4.2.3.16	4.2.3.16-RXN
EC:1.4.9.2	ARALKYLAMINE-DEHYDROGENASE-RXN
EC:1.5.1.24	1.5.1.24-RXN
EC:1.8.1.6	CYSTINE-REDUCTASE-NADH-RXN
EC:1.1.1.15	RXN-11826,RXN-11827,RXN-11825,D-IDITOL-2-DEHYDROGENASE-RXN
EC:1.11.2.4	RXN-11820
EC:1.3.7.2	1.3.7.2-RXN
EC:3.4.22.27	3.4.22.27-RXN
EC:5.4.99.13	ISOBUTYRYL-COA-MUTASE-RXN
EC:2.7.1.158	RXN-7163
EC:2.7.1.74	DEOXYCYTIDINE-KINASE-RXN,RXN-14100,DEOXYGUANOSINE-KINASE-RXN,RXN-14098,RXN-14099,RXN-14093,DEOXYADENOSINE-KINASE-RXN
EC:2.4.1.123	2.4.1.123-RXN
EC:1.14.16.5	GLYCERYL-ETHER-MONOOXYGENASE-RXN
EC:1.14.99.44	RXN-12223
EC:1.14.13.130	RXN-12222
EC:1.3.8.2	RXN-12224
EC:2.1.1.208	RXN-12227
EC:1.8.98.2	1.8.98.2-RXN
EC:2.1.1.209	RXN-12228
EC:1.3.1.44	RXN-12559,RXN-12558,TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN
EC:1.13.11.48	1.13.11.48-RXN
EC:1.1.5.3	RXN0-5260,RXN-15740,RXN-15745
EC:1.10.3.14	RXN0-5266
EC:1.7.2.3	RXN0-5264,1.7.2.3-RXN
EC:1.10.3.10	RXN0-5268
EC:3.4.24.31	3.4.24.31-RXN
EC:3.5.1.103	RXN1G-2
EC:3.4.24.70	3.4.24.70-RXN
EC:1.5.99.5	METHYLGUTAMATE-DEHYDROGENASE-RXN
EC:1.1.1.131	MANNURONATE-REDUCTASE-RXN
EC:1.1.1.236	TROPINONE-REDUCTASE-RXN
EC:2.1.1.96	THIOETHER-S-METHYLTRANSFERASE-RXN
EC:3.4.21.50	3.4.21.50-RXN
EC:2.1.1.34	2.1.1.34-RXN
EC:2.4.1.144	2.4.1.144-RXN,RXN-7871
EC:3.6.1.17	3.6.1.17-RXN
EC:1.14.11.30	RXN-11321
EC:5.1.1.12	ORNITHINE-RACEMASE-RXN
EC:3.1.3.62	RXN-7920,3.1.3.72-RXN,RXN-10944,RXN-10942,RXN-10943,RXN-10940,3.1.3.62-RXN
EC:2.4.99.14	RXN-11323
EC:3.4.21.120	3.4.21.120-RXN
EC:2.1.1.243	RXN-11456
EC:4.2.3.76	RXN-8566,RXN-13413
EC:4.2.3.107	RXN-8565
EC:4.2.3.75	RXN-8562
EC:5.5.1.1	RXN-14135,MUCONATE-CYCLOISOMERASE-RXN
EC:4.2.3.60	RXN-8561
EC:1.1.99.36	RXN-11454
EC:3.1.3.27	PGPPHOSPHA-RXN,RXN-13313
EC:1.3.1.95	RXN-8568
EC:2.5.1.34	TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN
EC:1.3.8.4	RXN-14264,RXN0-2301
EC:3.1.6.2	RXN-14263,STERYL-SULFATASE-RXN
EC:2.3.1.47	7KAPSYN-RXN,RXN-11484
EC:5.3.3.5	RXN-4161,RXN66-320,RXN-11884,RXN66-25
EC:3.5.1.41	CHITIN-DEACETYLASE-RXN
EC:3.4.22.36	3.4.22.36-RXN
EC:3.1.3.1	RXN-8748,ALKAPHOSPHA-RXN
EC:3.1.8.1	RXN-8743,RXN-8746,AMINOPARATHION-PHOSPHATASE-RXN,ARYLDIALKYL-PHOSPHATASE-RXN,ARYLDIALKYLPHOSPHATASE-RXN
EC:1.13.11.66	RXN-8740
EC:1.13.11.51	RXN-698,RXN-7973,RXN-7974
EC:4.2.2.9	4.2.2.9-RXN,RXN-11461
EC:2.1.1.300	RXN-15244
EC:4.3.2.5	PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN
EC:2.1.1.301	RXN-15243
EC:1.3.99.36	RXN-15241
EC:3.5.1.10	FORMYLTHFDEFORMYL-RXN
EC:2.7.7.62	COBINPGUANYLYLTRANS-RXN
EC:2.1.1.102	DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN
EC:2.7.1.7	MANNKIN-RXN
EC:2.3.1.241	LAUROYLACYLTRAN-RXN
EC:3.5.1.83	3.5.1.83-RXN
EC:1.14.19.M2	RXN-16238,RXN-16237
EC:3.4.23.16	3.4.23.16-RXN
EC:1.5.3.6	R-6-HYDROXYNICOTINE-OXIDASE-RXN
EC:1.14.19.aq	RXN-8352,RXN3O-227,RXN-4243
EC:1.1.1.112	INDANOL-DEHYDROGENASE-RXN
EC:1.17.1.3	RXN-1484,RXN-1481,RXN-9720
EC:2.4.1.140	2.4.1.140-RXN
EC:3.1.6.4	RXN-11568,3.1.6.4-RXN
EC:3.4.21.82	3.4.21.82-RXN
EC:2.1.1.69	RXN-14041,RXN-8448,2.1.1.69-RXN
EC:1.18.1.7	RXN-14040
EC:4.2.1.3	RXN-14047
EC:3.1.3.74	RXN-14046,RXN-14181,3.1.3.74-RXN
EC:3.4.17.11	3.4.17.11-RXN
EC:4.3.3.4	4.3.3.4-RXN
EC:5.1.1.8	4-HYDROXYPROLINE-EPIMERASE-RXN
EC:1.5.3.7	L-PIPECOLATE-OXIDASE-RXN
EC:4.2.1.107	RXN-9847,4.2.1.107-RXN
EC:4.2.1.77	TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN
EC:1.3.99.16	1.3.99.16-RXN
EC:1.14.13.77	1.14.13.77-RXN
EC:1.14.13.105	RXN-9435,RXN-9431,RXN-9390,RXN-9396,RXN-9395,RXN-15254,RXN-9391,RXN-9420,RXN-9442,RXN-9440,RXN-9441,RXN-15255,RXN-15253
EC:5.1.1.7	DIAMINOPIMEPIM-RXN
EC:1.1.1.90	RXN-9909,RXN-8580,RXN-8581,ARYL-ALCOHOL-DEHYDROGENASE-RXN,BENZYL-ALC-DEHYDROGENASE-RXN
EC:1.14.13.71	1.14.13.71-RXN
EC:3.6.1.16	CDP-GLYCEROL-PYROPHOSPHATASE-RXN
EC:1.14.13.40	ANTHRANILOYL-COA-MONOOXYGENASE-RXN
EC:1.14.13.30	LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN,RXN-11003
EC:2.5.1.43	2.5.1.43-RXN
EC:3.2.1.23	3.2.1.23-RXN,RXN-12400,RXN-12399,RXN-12398,BETAGALACTOSID-RXN,KETOLACTOSE-RXN
EC:1.14.13.137	RXN-6681
EC:1.14.13.139	RXN-6683
EC:1.14.13.138	RXN-6682
EC:1.14.20.2	RXN-6685
EC:1.14.13.140	RXN-6684
EC:2.1.1.241	RXN-6687
EC:1.13.11.33	ARACHIDONATE-15-LIPOXYGENASE-RXN
EC:1.2.99.5	FORMYLMETHANOFURAN-DEHYDROGENASE-RXN
EC:3.1.1.41	CEPHALOSPORIN-C-DEACETYLASE-RXN
EC:2.3.1.224	RXN-13542,RXN-14454,RXN-6762,RXN-9244,RXN-12954
EC:4.2.2.18	4.2.2.18-RXN
EC:3.4.17.14	RXN-15275,3.4.17.14-RXN
EC:1.1.1.127	1.1.1.127-RXN
EC:2.6.1.96	RXN-13328,RXN-6902
EC:2.5.1.32	RXN-13323
EC:2.1.1.260	RXN-13327
EC:3.1.1.6	RXN-13890,DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN,DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN,RXN-13889,ACETYLESTERASE-RXN
EC:1.14.19.an	RXN-13892,1.14.21.6-RXN,RXN-11887,RXN-13883,RXN3O-218
EC:1.13.12.7	1.13.12.7-RXN
EC:1.3.1.8	ACYL-COA-DEHYDROGENASE-NADP+-RXN,RXN-14194
EC:3.6.3.31	ABC-24-RXN,3.6.3.31-RXN,ABC-25-RXN
EC:2.4.1.91	FLAVONOL-3-O-GLUCOSYLTRANSFERASE-RXN,RXN-13452,RXN-13822,RXN1F-461,RXN1F-462
EC:2.7.8.13	RXN-8975,RXN-11347,PHOSNACMURPENTATRANS-RXN
EC:1.1.1.298	RXN-8974
EC:3.1.1.28	ACYLCARNITINE-HYDROLASE-RXN
EC:2.4.1.227	RXN-8976,RXN-11029,NACGLCTRANS-RXN,RXN-11346
EC:1.14.13.120	RXN-8971,RXN-15458
EC:1.6.5.4	1.6.5.4-RXN
EC:3.5.1.78	GSPAMID-RXN
EC:2.5.1.47	SULFOCYS-RXN,RXN-12726,ACSERLY-RXN
EC:4.1.99.1	TRYPTOPHAN-RXN
EC:6.3.3.2	5-FORMYL-THF-CYCLO-LIGASE-RXN
EC:5.99.1.3	5.99.1.3-RXN
EC:3.4.24.53	3.4.24.53-RXN
EC:1.14.11.24	1.14.11.24-RXN
EC:1.1.99.33	RXN0-3281
